Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
102,0,2026-04-27 23:22:47,18930.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0102.mp4,Saved
103,0,2026-04-27 23:24:54,19057.5,15.0,0.0,11.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0103.mp4,Saved
104,0,2026-04-27 23:25:55,19118.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0104.mp4,Saved
105,0,2026-04-27 23:28:56,19299.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0105.mp4,Saved
106,0,2026-04-27 23:30:25,19388.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0106.mp4,Saved
107,0,2026-04-27 23:30:54,19417.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0107.mp4,Saved
108,0,2026-04-27 23:31:49,19472.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0108.mp4,Saved
109,0,2026-04-27 23:32:07,19490.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0109.mp4,Saved
110,0,2026-04-27 23:32:22,19505.5,18.0,3.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0110.mp4,Saved
111,0,2026-04-27 23:32:51,19534.5,12.0,0.0,10.0,1.0,No,possible_feed_clips\bee_0\bee_0_feed_0111.mp4,Saved
112,0,2026-04-27 23:33:02,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
113,0,2026-04-27 23:33:13,19556.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0113.mp4,Saved
114,0,2026-04-27 23:33:43,19586.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0114.mp4,Saved
115,0,2026-04-27 23:35:09,19672.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0115.mp4,Saved
116,0,2026-04-27 23:35:28,19691.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0116.mp4,Saved
117,0,2026-04-27 23:36:12,19735.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0117.mp4,Saved
118,0,2026-04-27 23:36:27,19750.5,18.0,4.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0118.mp4,Saved
119,0,2026-04-27 23:36:52,19775.5,12.0,1.0,10.0,0.0,No,possible_feed_clips\bee_0\bee_0_feed_0119.mp4,Saved
120,0,2026-04-27 23:37:03,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
121,0,2026-04-27 23:37:13,19796.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0121.mp4,Saved
122,0,2026-04-27 23:37:33,19816.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0122.mp4,Saved
123,0,2026-04-27 23:37:48,19831.5,17.0,3.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0123.mp4,Saved
124,0,2026-04-27 23:38:04,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
125,0,2026-04-27 23:38:19,19862.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0125.mp4,Saved
126,0,2026-04-27 23:39:03,19906.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0126.mp4,Saved
