Start Timestamp,Min Intensity,Max Intensity,Avg Intensity,Log Count,Duration (s)
2026-05-04 14:29:12,20.1,27.8,25.97,9,4.0
2026-05-04 14:30:13,20.3,20.3,20.3,1,0.0
2026-05-04 14:30:36,20.0,25.1,23.83,6,3.0
2026-05-04 14:30:49,20.3,24.3,22.3,2,0.0
2026-05-04 14:31:24,20.0,21.6,20.8,2,0.0
2026-05-04 14:34:10,20.3,21.0,20.65,2,0.0
2026-05-04 14:34:21,20.0,20.0,20.0,1,0.0
2026-05-04 14:34:58,20.0,24.0,21.52,6,3.0
2026-05-04 14:40:00,20.1,20.1,20.1,1,0.0
2026-05-04 14:40:26,20.0,20.7,20.32,4,2.0
2026-05-04 14:40:38,20.3,20.4,20.35,2,1.0
2026-05-04 14:42:52,20.2,20.2,20.2,1,0.0
2026-05-04 14:45:18,20.6,22.3,21.12,4,2.0
2026-05-04 14:45:55,20.1,20.1,20.1,1,0.0
2026-05-04 14:53:20,20.2,23.3,21.27,3,1.0
2026-05-04 14:53:27,20.1,20.9,20.5,2,1.0
2026-05-04 14:54:18,20.5,20.5,20.5,1,0.0
2026-05-04 15:00:16,20.9,28.7,24.89,14,6.0
2026-05-04 15:00:37,21.6,27.9,24.77,4,2.0
2026-05-04 15:01:36,20.2,27.8,23.33,11,5.0
2026-05-04 15:05:19,20.0,20.0,20.0,1,0.0
2026-05-04 15:06:01,20.0,20.1,20.05,2,0.0
2026-05-04 15:06:29,20.0,24.9,21.54,5,2.0
2026-05-04 15:06:37,20.0,25.6,22.12,5,2.0
2026-05-04 15:06:45,20.0,20.0,20.0,1,0.0
2026-05-04 15:06:51,20.2,26.4,23.47,4,1.0
2026-05-04 15:07:14,20.0,20.1,20.05,2,1.0
2026-05-04 15:07:22,20.0,21.1,20.4,3,1.0
2026-05-04 15:07:30,20.0,20.3,20.15,2,0.0
2026-05-04 15:07:32,20.0,20.6,20.3,2,1.0
2026-05-04 15:07:42,20.0,20.7,20.3,5,3.0
2026-05-04 15:07:53,20.0,20.4,20.2,2,1.0
2026-05-04 15:08:00,20.0,20.0,20.0,1,0.0
2026-05-04 15:08:12,20.0,21.7,20.85,2,0.0
2026-05-04 15:08:28,20.0,20.0,20.0,1,0.0
2026-05-04 15:08:33,20.0,20.1,20.07,6,3.0
2026-05-04 15:10:05,20.1,21.7,20.63,3,1.0
2026-05-04 15:11:50,20.0,21.2,20.58,5,2.0
2026-05-04 15:12:31,20.1,21.3,20.57,3,1.0
2026-05-04 15:12:53,20.0,20.5,20.27,3,1.0
2026-05-04 15:13:34,20.0,20.8,20.45,8,4.0
2026-05-04 15:20:43,20.0,22.3,20.58,14,7.0
2026-05-04 15:24:54,20.0,28.6,22.55,4,2.0
2026-05-04 15:26:47,20.0,21.3,20.56,7,3.0
2026-05-04 15:28:11,20.0,25.5,22.01,371,189.0
2026-05-04 15:38:44,20.0,21.7,20.52,13,6.0
2026-05-04 15:39:44,20.0,20.0,20.0,2,1.0
2026-05-04 15:40:58,20.0,26.9,24.21,13,7.0
2026-05-04 15:41:23,20.0,26.4,22.57,6,2.0
2026-05-04 15:41:49,20.0,31.0,25.2,12,6.0
2026-05-04 15:42:47,20.3,23.6,22.43,13,6.0
2026-05-04 16:31:12,20.0,27.8,23.1,14,6.0
2026-05-04 16:37:53,20.0,26.0,23.54,13,6.0
2026-05-04 16:38:46,20.0,23.6,21.22,5,2.0
2026-05-04 16:39:12,20.0,20.9,20.46,5,2.0
2026-05-04 16:39:25,20.0,20.5,20.27,3,1.0
2026-05-04 16:39:47,20.2,25.4,23.27,10,4.0
2026-05-04 16:40:03,20.2,20.2,20.2,1,0.0
2026-05-04 16:40:13,20.0,20.0,20.0,1,0.0
2026-05-04 16:42:50,20.1,24.6,21.65,4,1.0
2026-05-04 16:44:03,20.0,23.3,21.02,4,1.0
2026-05-04 16:45:51,20.0,20.2,20.1,2,0.0
2026-05-04 16:49:39,20.0,20.9,20.4,6,3.0
2026-05-04 17:06:25,20.0,24.3,22.6,7,3.0
2026-05-04 17:10:38,20.0,20.0,20.0,1,0.0
2026-05-04 17:10:41,20.0,20.0,20.0,2,1.0
2026-05-04 17:10:46,20.0,20.0,20.0,2,1.0
2026-05-04 17:10:49,20.0,20.0,20.0,7,5.0
2026-05-04 17:10:57,20.0,20.0,20.0,4,2.0
2026-05-04 17:11:01,20.0,20.0,20.0,4,2.0
2026-05-04 17:11:05,20.0,20.0,20.0,6,3.0
2026-05-04 17:11:15,20.0,20.1,20.0,30,15.0
2026-05-04 17:11:32,20.0,20.0,20.0,3,1.0
2026-05-04 17:11:37,20.0,20.0,20.0,3,2.0
2026-05-04 17:11:41,20.0,20.0,20.0,1,0.0
2026-05-04 17:11:43,20.0,20.0,20.0,2,0.0
2026-05-04 17:11:45,20.0,20.0,20.0,1,0.0
2026-05-04 17:11:50,20.0,20.0,20.0,8,5.0
2026-05-04 17:11:58,20.0,20.0,20.0,1,0.0
2026-05-04 17:12:00,20.0,20.0,20.0,5,2.0
2026-05-04 17:12:05,20.0,20.0,20.0,6,4.0
2026-05-04 17:12:11,20.0,20.0,20.0,8,4.0
2026-05-04 17:12:21,20.0,20.0,20.0,11,5.0
2026-05-04 17:12:28,20.0,20.2,20.09,11,8.0
2026-05-04 17:12:38,20.0,20.2,20.07,3,1.0
2026-05-04 17:12:42,20.2,20.2,20.2,1,0.0
2026-05-04 17:12:44,20.2,20.2,20.2,1,0.0
2026-05-04 17:12:47,20.0,20.0,20.0,1,0.0
2026-05-04 17:12:49,20.0,20.2,20.07,9,6.0
2026-05-04 17:12:57,20.0,20.2,20.06,7,4.0
2026-05-04 17:13:03,20.0,20.2,20.06,29,17.0
2026-05-04 17:13:22,20.0,20.0,20.0,2,0.0
2026-05-04 17:13:24,20.0,20.2,20.08,5,3.0
2026-05-04 17:13:29,20.2,20.2,20.2,1,0.0
2026-05-04 17:13:31,20.0,20.3,20.05,43,26.0
2026-05-04 17:14:00,20.0,20.4,20.11,29,14.0
2026-05-04 17:14:22,20.0,24.4,21.71,66,34.0
2026-05-04 17:32:42,20.0,20.1,20.02,4,3.0
2026-05-04 17:32:53,20.0,20.0,20.0,1,0.0
2026-05-04 17:32:55,20.1,20.1,20.1,1,0.0
2026-05-04 17:32:59,20.1,20.1,20.1,1,0.0
2026-05-04 17:33:02,20.1,20.1,20.1,1,0.0
2026-05-04 17:33:11,20.1,20.1,20.1,1,0.0
2026-05-04 17:33:20,20.0,20.7,20.08,574,293.0
2026-05-04 17:39:10,20.0,25.5,22.42,53,27.0
2026-05-04 17:56:50,20.0,21.3,20.71,13,6.0
2026-05-04 17:57:39,20.0,21.4,20.52,10,4.0
2026-05-04 18:04:32,20.0,23.4,21.37,25,13.0
2026-05-04 18:05:58,20.0,22.4,21.2,2,1.0
